,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 2.1.1: Trend Plots of Average Reading Achievement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Assessed Fourth Grade Students at the End of the School Year,,,,,,,,,,,,,,,,,,,,,,,,,,
,,⋈   Assessed one year later than originally scheduled – six year trend from PIRLS 2016 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This exhibit displays changes in achievement for the countries and benchmarking participants that assessed fourth grade students at the end of the school year and have comparable data from previous PIRLS assessments. Exhibit 2.1.2 provides details, including statistical significance. See Appendix A for country participation in previous assessments.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note: PDF version of exhibit includes graphical displays.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,,During COVID-19 pandemic,,Prior to COVID-19 pandemic,,,,,,,,,,,,,,,,,,,,,,
,,,,2021,,2016,,2011,,2006,,2001,,,,,,,,,,,                  ,,,,,
,,Australia ⋈,,540,(2.2),544,(2.5),527,(2.3),,,,,,,,,,,,,,,,,,,
,,Austria,,530,(2.2),541,(2.4),529,(1.9),538,(2.2),,,,,,,,,,,,,,,,,
,,Azerbaijan,,440,(3.6),472,(4.2),462,(3.3),,,,,,,,,,,,,,,,,,,
,,Belgium (Flemish),,511,(2.3),525,(1.9),,,547,(1.9),,,,,,,,,,,,,,,,,
,,Belgium (French),,494,(2.7),497,(2.6),506,(2.9),500,(2.6),,,,,,,,,,,,,,,,,
,,Bulgaria,,540,(3.0),552,(4.2),532,(4.1),547,(4.4),550,(3.8),,,,,,,,,,,,,,,
,,Chinese Taipei,,544,(2.2),559,(2.0),553,(1.8),535,(2.0),,,,,,,,,,,,,,,,,
,,Cyprus,,511,(2.9),,,,,,,494,(2.9),,,,,,,,,,,,,,,
,,Czech Republic,,540,(2.3),543,(2.1),545,(2.2),,,537,(2.3),,,,,,,,,,,,,,,
,,Denmark,,539,(2.2),547,(2.1),554,(1.7),546,(2.2),,,,,,,,,,,,,,,,,
,,Egypt,,378,(5.4),330,(5.6),,,,,,,,,,,,,,,,,,,,,
,,England ⋈,,558,(2.5),559,(1.9),552,(2.6),539,(2.5),553,(3.5),,,,,,,,,,,,,,,
,,Finland,,549,(2.4),566,(1.8),568,(1.8),,,,,,,,,,,,,,,,,,,
,,France,,514,(2.5),511,(2.2),520,(2.7),522,(2.0),525,(2.4),,,,,,,,,,,,,,,
,,Germany,,524,(2.1),537,(3.2),541,(2.3),548,(2.2),539,(1.9),,,,,,,,, ,,,,,,
,,Hong Kong SAR,,573,(2.7),569,(2.7),571,(2.3),564,(2.4),528,(3.1),,,,,,,,,,,,,,,
,,"Iran, Islamic Rep. of ⋈",,413,(4.9),428,(4.0),457,(2.9),421,(3.2),414,(4.3),,,,,,,,,,,,,,,
,,Israel ⋈,,510,(2.2),530,(2.5),541,(2.7),,,,,,,,,,,,,,,,,,,
,,Italy,,537,(2.2),548,(2.2),541,(2.2),551,(2.9),541,(2.4),,,,,,,,,,,,,,,
,,Macao SAR,,536,(1.3),546,(1.0),,,,,,,,,,,,,,,,,,,,,
,,Netherlands,,527,(2.5),545,(1.7),546,(2.0),547,(1.5),554,(2.4),,,,,,,,,,,,,,,
,,New Zealand,,521,(2.3),523,(2.2),531,(1.9),532,(2.1),529,(3.7),,,,,,,,,,,,,,,
,,North Macedonia,,442,(5.3),,,,,442,(4.1),442,(4.8),,,,,,,,,,,,,,,
,,Norway (5),,539,(2.0),559,(2.3),,,,,,,,,,,,,,,,,,,,,
,,Oman,,429,(3.7),418,(3.3),391,(2.8),,,,,,,,,,,,,,,,,,,
,,Poland,,549,(2.2),565,(2.1),,,,,,,,,,,,,,,,,,,,,
,,Portugal,,520,(2.3),528,(2.3),541,(2.5),,,,,,,,,,,,,,,,,,,
,,Russian Federation,,567,(3.6),581,(2.2),568,(2.7),565,(3.4),528,(4.3),,,,,,,,,,,,,,,
,,Singapore,,587,(3.1),576,(3.2),567,(3.3),558,(2.9),528,(5.2),,,,,,,,,,,,,,,
,,Slovak Republic,,529,(2.7),535,(3.1),535,(2.7),531,(2.8),518,(2.8),,,,,,,,,,,,,,,
,,Slovenia,,520,(1.9),542,(2.0),530,(2.0),522,(2.1),502,(1.9),,,,,,,,,,,,,,,
,,South Africa ⋈,,288,(4.4),320,(4.4),,,,,,,,,,,,,,,,,,,,,
,,Spain,,521,(2.2),528,(1.7),513,(2.3),513,(2.6),,,,,,,,,,,,,,,,,
,,Sweden,,544,(2.1),555,(2.4),542,(2.1),549,(2.3),561,(2.2),,,,,,,,,,,,,,,
,,Turkiye,,496,(3.4),,,,,,,449,(3.5),,,,,,,,,,,,,,,
Benchmarking Participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Alberta, Canada",,539,(3.6),,,548,(2.9),560,(2.4),,,,,,,,,,,,,,,,,
,,"British Columbia, Canada",,535,(3.5),,,,,558,(2.7),,,,,,,,,,,,,,,,,
,,"Moscow City, Russian Federation",,598,(2.1),612,(2.2),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"( ) Standard errors appear in parentheses. Because of rounding some results may appear inconsistent.
See Appendix A for country participation in previous PIRLS assessments.

",,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOURCE:  IEA's Progress in International Reading Literacy Study - PIRLS 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Downloaded from https://pirls2021.org/results,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
